"","Place","Year","Geoid","Rate.Denom","Value.Count","Value.Rate","FIPS"
"1","Alamance",2010,37001,2420,0,0,1
"2","Alexander",2010,37003,368,0,0,3
"3","Alleghany",2010,37005,90,0,0,5
"4","Anson",2010,37007,716,1,140,7
"5","Ashe",2010,37009,227,0,0,9
"6","Avery",2010,37011,250,0,0,11
"7","Beaufort",2010,37013,421,0,0,13
"8","Bertie",2010,37015,378,0,0,15
"9","Bladen",2010,37017,3548,0,0,17
"10","Brunswick",2010,37019,3181,0,0,19
"11","Buncombe",2010,37021,4646,1,22,21
"12","Burke",2010,37023,1247,0,0,23
"13","Cabarrus",2010,37025,2853,0,0,25
"14","Caldwell",2010,37027,835,0,0,27
"15","Camden",2010,37029,157,0,0,29
"16","Carteret",2010,37031,1523,0,0,31
"17","Caswell",2010,37033,254,0,0,33
"18","Catawba",2010,37035,1834,0,0,35
"19","Chatham",2010,37037,915,0,0,37
"20","Cherokee",2010,37039,2067,1,48,39
"21","Chowan",2010,37041,187,0,0,41
"22","Clay",2010,37043,167,0,0,43
"23","Cleveland",2010,37045,902,0,0,45
"24","Columbus",2010,37047,9014,2,22,47
"25","Craven",2010,37049,2216,0,0,49
"26","Cumberland",2010,37051,24626,3,12,51
"27","Currituck",2010,37053,425,0,0,53
"28","Dare",2010,37055,443,0,0,55
"29","Davidson",2010,37057,2863,0,0,57
"30","Davie",2010,37059,458,0,0,59
"31","Duplin",2010,37061,637,0,0,61
"32","Durham",2010,37063,3879,1,26,63
"33","Edgecombe",2010,37065,655,0,0,65
"34","Forsyth",2010,37067,5529,0,0,67
"35","Franklin",2010,37069,1089,0,0,69
"36","Gaston",2010,37071,3347,0,0,71
"37","Gates",2010,37073,234,0,0,73
"38","Graham",2010,37075,2956,0,0,75
"39","Granville",2010,37077,1356,0,0,77
"40","Greene",2010,37079,377,0,0,79
"41","Guilford",2010,37081,11827,2,17,81
"42","Halifax",2010,37083,9669,0,0,83
"43","Harnett",2010,37085,5041,1,20,85
"44","Haywood",2010,37087,1510,0,0,87
"45","Henderson",2010,37089,1298,0,0,89
"46","Hertford",2010,37091,1395,0,0,91
"47","Hoke",2010,37093,20875,8,38,93
"48","Hyde",2010,37095,106,0,0,95
"49","Iredell",2010,37097,1966,1,51,97
"50","Jackson",2010,37099,18995,8,42,99
"51","Johnston",2010,37101,3280,0,0,101
"52","Jones",2010,37103,199,0,0,103
"53","Lee",2010,37105,1182,0,0,105
"54","Lenoir",2010,37107,643,0,0,107
"55","Lincoln",2010,37109,911,0,0,109
"56","Macon",2010,37113,543,0,0,113
"57","Madison",2010,37115,273,0,0,115
"58","Martin",2010,37117,368,0,0,117
"59","McDowell",2010,37111,648,0,0,111
"60","Mecklenburg",2010,37119,18503,2,11,119
"61","Mitchell",2010,37121,151,0,0,121
"62","Montgomery",2010,37123,451,0,0,123
"63","Moore",2010,37125,3228,1,31,125
"64","Nash",2010,37127,2213,0,0,127
"65","New Hanover",2010,37129,4003,1,25,129
"66","Northampton",2010,37131,378,0,0,131
"67","Onslow",2010,37133,6038,1,17,133
"68","Orange",2010,37135,2360,0,0,135
"69","Pamlico",2010,37137,356,0,0,137
"70","Pasquotank",2010,37139,698,0,0,139
"71","Pender",2010,37141,1107,0,0,141
"72","Perquimans",2010,37143,123,0,0,143
"73","Person",2010,37145,1182,1,85,145
"74","Pitt",2010,37147,2347,0,0,147
"75","Polk",2010,37149,173,0,0,149
"76","Randolph",2010,37151,3119,0,0,151
"77","Richmond",2010,37153,4863,1,21,153
"78","Robeson",2010,37155,245077,30,12,155
"79","Rockingham",2010,37157,1438,1,70,157
"80","Rowan",2010,37159,2226,0,0,159
"81","Rutherford",2010,37161,616,0,0,161
"82","Sampson",2010,37163,5595,2,36,163
"83","Scotland",2010,37165,18590,2,11,165
"84","Stanly",2010,37167,761,0,0,167
"85","Stokes",2010,37169,614,0,0,169
"86","Surry",2010,37171,872,0,0,171
"87","Swain",2010,37173,18215,11,60,173
"88","Transylvania",2010,37175,436,0,0,175
"89","Tyrrell",2010,37177,43,0,0,177
"90","Union",2010,37179,3533,0,0,179
"91","Vance",2010,37181,503,0,0,181
"92","Wake",2010,37183,17344,2,12,183
"93","Warren",2010,37185,5013,0,0,185
"94","Washington",2010,37187,55,0,0,187
"95","Watauga",2010,37189,652,0,0,189
"96","Wayne",2010,37191,2053,0,0,191
"97","Wilkes",2010,37193,489,1,204,193
"98","Wilson",2010,37195,894,0,0,195
"99","Yadkin",2010,37197,313,0,0,197
"100","Yancey",2010,37199,219,0,0,199
"101","Alamance",2015,37001,3118,0,0,1
"102","Alexander",2015,37003,450,0,0,3
"103","Alleghany",2015,37005,104,0,0,5
"104","Anson",2015,37007,804,0,0,7
"105","Ashe",2015,37009,295,0,0,9
"106","Avery",2015,37011,317,0,0,11
"107","Beaufort",2015,37013,652,0,0,13
"108","Bertie",2015,37015,487,0,0,15
"109","Bladen",2015,37017,3955,0,0,17
"110","Brunswick",2015,37019,3992,1,25,19
"111","Buncombe",2015,37021,4921,0,0,21
"112","Burke",2015,37023,1181,0,0,23
"113","Cabarrus",2015,37025,3376,0,0,25
"114","Caldwell",2015,37027,895,0,0,27
"115","Camden",2015,37029,209,0,0,29
"116","Carteret",2015,37031,1712,2,117,31
"117","Caswell",2015,37033,398,0,0,33
"118","Catawba",2015,37035,1898,0,0,35
"119","Chatham",2015,37037,983,0,0,37
"120","Cherokee",2015,37039,2143,0,0,39
"121","Chowan",2015,37041,247,0,0,41
"122","Clay",2015,37043,205,0,0,43
"123","Cleveland",2015,37045,1028,0,0,45
"124","Columbus",2015,37047,9536,0,0,47
"125","Craven",2015,37049,2755,0,0,49
"126","Cumberland",2015,37051,25365,6,24,51
"127","Currituck",2015,37053,592,0,0,53
"128","Dare",2015,37055,576,0,0,55
"129","Davidson",2015,37057,3557,0,0,57
"130","Davie",2015,37059,575,0,0,59
"131","Duplin",2015,37061,1040,0,0,61
"132","Durham",2015,37063,5085,1,20,63
"133","Edgecombe",2015,37065,965,1,104,65
"134","Forsyth",2015,37067,5566,1,18,67
"135","Franklin",2015,37069,1376,1,73,69
"136","Gaston",2015,37071,4357,0,0,71
"137","Gates",2015,37073,329,0,0,73
"138","Graham",2015,37075,2916,0,0,75
"139","Granville",2015,37077,1315,0,0,77
"140","Greene",2015,37079,568,0,0,79
"141","Guilford",2015,37081,12285,2,16,81
"142","Halifax",2015,37083,10187,1,10,83
"143","Harnett",2015,37085,6332,1,16,85
"144","Haywood",2015,37087,1568,0,0,87
"145","Henderson",2015,37089,2116,0,0,89
"146","Hertford",2015,37091,1419,0,0,91
"147","Hoke",2015,37093,23389,6,26,93
"148","Hyde",2015,37095,111,0,0,95
"149","Iredell",2015,37097,2603,0,0,97
"150","Jackson",2015,37099,18606,4,21,99
"151","Johnston",2015,37101,4022,1,25,101
"152","Jones",2015,37103,290,0,0,103
"153","Lee",2015,37105,1574,1,64,105
"154","Lenoir",2015,37107,993,0,0,107
"155","Lincoln",2015,37109,1183,2,169,109
"156","Macon",2015,37113,812,0,0,113
"157","Madison",2015,37115,303,0,0,115
"158","Martin",2015,37117,381,0,0,117
"159","McDowell",2015,37111,756,0,0,111
"160","Mecklenburg",2015,37119,18859,1,5,119
"161","Mitchell",2015,37121,223,0,0,121
"162","Montgomery",2015,37123,580,0,0,123
"163","Moore",2015,37125,4045,2,49,125
"164","Nash",2015,37127,3058,1,33,127
"165","New Hanover",2015,37129,4653,1,21,129
"166","Northampton",2015,37131,513,0,0,131
"167","Onslow",2015,37133,6243,0,0,133
"168","Orange",2015,37135,2463,0,0,135
"169","Pamlico",2015,37137,383,0,0,137
"170","Pasquotank",2015,37139,788,0,0,139
"171","Pender",2015,37141,1488,1,67,141
"172","Perquimans",2015,37143,228,0,0,143
"173","Person",2015,37145,1305,0,0,145
"174","Pitt",2015,37147,2699,0,0,147
"175","Polk",2015,37149,275,0,0,149
"176","Randolph",2015,37151,3561,0,0,151
"177","Richmond",2015,37153,5935,0,0,153
"178","Robeson",2015,37155,261660,58,22,155
"179","Rockingham",2015,37157,1759,0,0,157
"180","Rowan",2015,37159,2330,0,0,159
"181","Rutherford",2015,37161,958,0,0,161
"182","Sampson",2015,37163,5986,3,50,163
"183","Scotland",2015,37165,20168,5,25,165
"184","Stanly",2015,37167,1009,0,0,167
"185","Stokes",2015,37169,740,0,0,169
"186","Surry",2015,37171,958,0,0,171
"187","Swain",2015,37173,19444,2,10,173
"188","Transylvania",2015,37175,541,1,185,175
"189","Tyrrell",2015,37177,39,0,0,177
"190","Union",2015,37179,3784,0,0,179
"191","Vance",2015,37181,545,0,0,181
"192","Wake",2015,37183,16462,1,6,183
"193","Warren",2015,37185,5346,0,0,185
"194","Washington",2015,37187,112,0,0,187
"195","Watauga",2015,37189,735,0,0,189
"196","Wayne",2015,37191,2102,1,48,191
"197","Wilkes",2015,37193,641,0,0,193
"198","Wilson",2015,37195,1216,0,0,195
"199","Yadkin",2015,37197,378,0,0,197
"200","Yancey",2015,37199,260,0,0,199
"201","Alamance",2020,37001,3434,0,0,1
"202","Alexander",2020,37003,522,0,0,3
"203","Alleghany",2020,37005,147,0,0,5
"204","Anson",2020,37007,821,0,0,7
"205","Ashe",2020,37009,368,0,0,9
"206","Avery",2020,37011,364,0,0,11
"207","Beaufort",2020,37013,753,0,0,13
"208","Bertie",2020,37015,564,0,0,15
"209","Bladen",2020,37017,4068,1,25,17
"210","Brunswick",2020,37019,4791,1,21,19
"211","Buncombe",2020,37021,5053,3,59,21
"212","Burke",2020,37023,1348,0,0,23
"213","Cabarrus",2020,37025,3653,1,27,25
"214","Caldwell",2020,37027,876,0,0,27
"215","Camden",2020,37029,220,0,0,29
"216","Carteret",2020,37031,1753,0,0,31
"217","Caswell",2020,37033,472,0,0,33
"218","Catawba",2020,37035,1998,0,0,35
"219","Chatham",2020,37037,1162,0,0,37
"220","Cherokee",2020,37039,2301,0,0,39
"221","Chowan",2020,37041,241,0,0,41
"222","Clay",2020,37043,257,0,0,43
"223","Cleveland",2020,37045,1147,0,0,45
"224","Columbus",2020,37047,9469,3,32,47
"225","Craven",2020,37049,2741,0,0,49
"226","Cumberland",2020,37051,26605,20,75,51
"227","Currituck",2020,37053,770,0,0,53
"228","Dare",2020,37055,531,0,0,55
"229","Davidson",2020,37057,3804,1,26,57
"230","Davie",2020,37059,632,0,0,59
"231","Duplin",2020,37061,1110,0,0,61
"232","Durham",2020,37063,5195,1,19,63
"233","Edgecombe",2020,37065,941,0,0,65
"234","Forsyth",2020,37067,6026,3,50,67
"235","Franklin",2020,37069,1725,0,0,69
"236","Gaston",2020,37071,4651,3,65,71
"237","Gates",2020,37073,357,0,0,73
"238","Graham",2020,37075,3175,0,0,75
"239","Granville",2020,37077,1352,0,0,77
"240","Greene",2020,37079,565,0,0,79
"241","Guilford",2020,37081,12763,3,24,81
"242","Halifax",2020,37083,9632,2,21,83
"243","Harnett",2020,37085,7033,2,28,85
"244","Haywood",2020,37087,1738,0,0,87
"245","Henderson",2020,37089,2282,0,0,89
"246","Hertford",2020,37091,1306,0,0,91
"247","Hoke",2020,37093,24147,9,37,93
"248","Hyde",2020,37095,94,0,0,95
"249","Iredell",2020,37097,2890,2,69,97
"250","Jackson",2020,37099,18483,32,173,99
"251","Johnston",2020,37101,4670,0,0,101
"252","Jones",2020,37103,370,0,0,103
"253","Lee",2020,37105,1671,1,60,105
"254","Lenoir",2020,37107,987,0,0,107
"255","Lincoln",2020,37109,1339,0,0,109
"256","Macon",2020,37113,973,1,103,113
"257","Madison",2020,37115,414,0,0,115
"258","Martin",2020,37117,379,0,0,117
"259","McDowell",2020,37111,889,0,0,111
"260","Mecklenburg",2020,37119,19209,4,21,119
"261","Mitchell",2020,37121,239,0,0,121
"262","Montgomery",2020,37123,717,0,0,123
"263","Moore",2020,37125,4379,2,46,125
"264","Nash",2020,37127,3210,0,0,127
"265","New Hanover",2020,37129,4878,1,21,129
"266","Northampton",2020,37131,505,0,0,131
"267","Onslow",2020,37133,6708,2,30,133
"268","Orange",2020,37135,2503,0,0,135
"269","Pamlico",2020,37137,416,0,0,137
"270","Pasquotank",2020,37139,863,0,0,139
"271","Pender",2020,37141,1611,0,0,141
"272","Perquimans",2020,37143,298,0,0,143
"273","Person",2020,37145,1318,1,76,145
"274","Pitt",2020,37147,2926,0,0,147
"275","Polk",2020,37149,364,0,0,149
"276","Randolph",2020,37151,3883,1,26,151
"277","Richmond",2020,37153,6018,3,50,153
"278","Robeson",2020,37155,267609,119,44,155
"279","Rockingham",2020,37157,1823,0,0,157
"280","Rowan",2020,37159,2506,0,0,159
"281","Rutherford",2020,37161,1031,1,97,161
"282","Sampson",2020,37163,6234,2,32,163
"283","Scotland",2020,37165,21543,6,28,165
"284","Stanly",2020,37167,1150,1,87,167
"285","Stokes",2020,37169,748,0,0,169
"286","Surry",2020,37171,1015,0,0,171
"287","Swain",2020,37173,20602,15,73,173
"288","Transylvania",2020,37175,672,1,149,175
"289","Tyrrell",2020,37177,54,0,0,177
"290","Union",2020,37179,4162,1,24,179
"291","Vance",2020,37181,620,0,0,181
"292","Wake",2020,37183,17567,1,6,183
"293","Warren",2020,37185,5336,0,0,185
"294","Washington",2020,37187,134,0,0,187
"295","Watauga",2020,37189,857,0,0,189
"296","Wayne",2020,37191,2273,0,0,191
"297","Wilkes",2020,37193,679,0,0,193
"298","Wilson",2020,37195,1314,1,76,195
"299","Yadkin",2020,37197,431,0,0,197
"300","Yancey",2020,37199,320,0,0,199
